epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7464,1.7929,3.7509,0.00703,0.57446,0.53786,0.54774,0.25028,1.59174,3.70144,0.00887,0.000662366,0.000662366,0.000662366
2,65.3051,1.78232,2.51627,0.00682,0.64674,0.60444,0.62815,0.29187,1.65754,2.00692,0.00969,0.00132026,0.00132026,0.00132026
3,95.7672,1.777,1.97617,0.00698,0.66473,0.5736,0.63293,0.31219,1.66179,1.61584,0.00966,0.00196936,0.00196936,0.00196936
4,125.512,1.79014,1.73346,0.00702,0.73373,0.65049,0.72309,0.35956,1.66074,1.27398,0.00966,0.0019604,0.0019604,0.0019604
5,156.246,1.76121,1.57974,0.00703,0.7465,0.6369,0.72034,0.36637,1.65501,1.29882,0.0095,0.0019472,0.0019472,0.0019472
6,186.42,1.71692,1.46494,0.00672,0.72738,0.62377,0.71003,0.37383,1.58531,1.20699,0.00912,0.001934,0.001934,0.001934
7,216.515,1.72786,1.41688,0.00645,0.77643,0.65954,0.74881,0.41907,1.50121,1.12747,0.00855,0.0019208,0.0019208,0.0019208
8,246.387,1.6988,1.34954,0.00654,0.7703,0.68339,0.76309,0.41795,1.56648,1.07371,0.00895,0.0019076,0.0019076,0.0019076
9,275.906,1.66019,1.2611,0.00647,0.75166,0.65215,0.74588,0.40499,1.52997,1.12439,0.00869,0.0018944,0.0018944,0.0018944
10,305.165,1.66143,1.25306,0.00648,0.78711,0.64005,0.74182,0.42907,1.50714,1.12976,0.00885,0.0018812,0.0018812,0.0018812
11,334.599,1.65683,1.30297,0.00625,0.78127,0.69326,0.77586,0.44342,1.46915,1.00618,0.00832,0.001868,0.001868,0.001868
12,364.309,1.63203,1.23671,0.0062,0.78485,0.67023,0.77032,0.45247,1.46549,1.02936,0.00808,0.0018548,0.0018548,0.0018548
13,394.136,1.63731,1.18277,0.00628,0.79036,0.68676,0.7786,0.44574,1.48119,0.95942,0.00819,0.0018416,0.0018416,0.0018416
14,424.736,1.63649,1.18319,0.0063,0.79002,0.68627,0.77478,0.45356,1.47256,1.02546,0.00847,0.0018284,0.0018284,0.0018284
15,455.037,1.62857,1.19271,0.00621,0.80797,0.69243,0.79046,0.4656,1.43327,0.99176,0.00815,0.0018152,0.0018152,0.0018152
16,485.424,1.62445,1.14362,0.00623,0.7992,0.71546,0.79738,0.46064,1.50413,0.97968,0.00848,0.001802,0.001802,0.001802
17,515.455,1.60206,1.13476,0.0062,0.80297,0.7105,0.79784,0.46543,1.435,0.95564,0.00798,0.0017888,0.0017888,0.0017888
18,544.954,1.61247,1.15507,0.00622,0.78453,0.70812,0.78116,0.46958,1.46203,0.97388,0.00856,0.0017756,0.0017756,0.0017756
19,574.663,1.58051,1.14069,0.00603,0.80034,0.73849,0.80964,0.47494,1.42275,0.92739,0.00789,0.0017624,0.0017624,0.0017624
20,604.403,1.58007,1.12843,0.00591,0.77802,0.71505,0.79251,0.45428,1.499,0.9155,0.00825,0.0017492,0.0017492,0.0017492
21,634.553,1.59285,1.12769,0.00588,0.78422,0.70535,0.78847,0.47522,1.40937,0.95832,0.00767,0.001736,0.001736,0.001736
22,665.564,1.58028,1.08903,0.00611,0.79418,0.71587,0.79631,0.47454,1.45715,0.91392,0.00825,0.0017228,0.0017228,0.0017228
23,695.655,1.56989,1.06963,0.00596,0.81082,0.68421,0.78724,0.46874,1.42342,0.96308,0.00784,0.0017096,0.0017096,0.0017096
24,725.633,1.57283,1.06121,0.00595,0.8146,0.72245,0.80713,0.49614,1.38465,0.88001,0.00775,0.0016964,0.0016964,0.0016964
25,755.437,1.56639,1.06019,0.00576,0.86603,0.70518,0.81471,0.4924,1.42326,0.87294,0.00808,0.0016832,0.0016832,0.0016832
26,784.894,1.55109,1.03702,0.00592,0.8436,0.70477,0.8154,0.50032,1.37529,0.87578,0.0076,0.00167,0.00167,0.00167
27,814.556,1.56678,1.0439,0.00591,0.83798,0.73931,0.82194,0.49182,1.37774,0.86509,0.00737,0.0016568,0.0016568,0.0016568
28,844.548,1.54756,1.02176,0.00592,0.82892,0.73717,0.82888,0.50494,1.36338,0.82541,0.00746,0.0016436,0.0016436,0.0016436
29,875.366,1.52766,1.02865,0.0057,0.82904,0.72779,0.81623,0.49231,1.40793,0.85063,0.00775,0.0016304,0.0016304,0.0016304
30,906.209,1.55266,1.02126,0.00573,0.82178,0.72821,0.81085,0.48022,1.43115,0.86092,0.00763,0.0016172,0.0016172,0.0016172
31,936.434,1.51034,1.00023,0.00559,0.82308,0.73266,0.82076,0.50694,1.37246,0.82205,0.00764,0.001604,0.001604,0.001604
32,966.606,1.52366,1.00533,0.00568,0.84519,0.74756,0.83436,0.50471,1.3874,0.81684,0.00789,0.0015908,0.0015908,0.0015908
33,997.47,1.49811,0.97197,0.00551,0.84955,0.72944,0.8271,0.50748,1.36335,0.81291,0.00742,0.0015776,0.0015776,0.0015776
34,1027.06,1.52717,0.98487,0.0057,0.85783,0.72903,0.82896,0.49836,1.4108,0.81925,0.00792,0.0015644,0.0015644,0.0015644
35,1056.77,1.53105,0.99314,0.00568,0.83028,0.74589,0.83143,0.50966,1.36867,0.81029,0.0078,0.0015512,0.0015512,0.0015512
36,1086.39,1.52899,0.98834,0.00566,0.83437,0.74981,0.83065,0.51919,1.3287,0.80235,0.00726,0.001538,0.001538,0.001538
37,1116.66,1.49974,0.96245,0.00544,0.84227,0.7426,0.82554,0.51843,1.32362,0.81551,0.00726,0.0015248,0.0015248,0.0015248
38,1147.86,1.50317,0.97245,0.00561,0.82607,0.7675,0.83274,0.5113,1.37889,0.8027,0.0077,0.0015116,0.0015116,0.0015116
39,1209.12,1.50888,0.98817,0.00547,0.84733,0.73713,0.82064,0.50795,1.36692,0.82706,0.0075,0.0014984,0.0014984,0.0014984
40,1332.46,1.50229,0.94387,0.00546,0.84445,0.75164,0.82914,0.51846,1.34293,0.81023,0.00738,0.0014852,0.0014852,0.0014852
41,1462.33,1.45668,0.90524,0.00555,0.8509,0.74424,0.83228,0.52104,1.32574,0.81481,0.00728,0.001472,0.001472,0.001472
42,1589.62,1.51272,0.96664,0.0056,0.8353,0.76439,0.83809,0.5331,1.28933,0.79274,0.00701,0.0014588,0.0014588,0.0014588
43,1716.94,1.46605,0.94274,0.00536,0.85683,0.75795,0.84171,0.52382,1.30479,0.78342,0.00709,0.0014456,0.0014456,0.0014456
44,1845.19,1.46601,0.94447,0.00559,0.82387,0.76742,0.83778,0.52978,1.30716,0.79602,0.00715,0.0014324,0.0014324,0.0014324
45,1978.51,1.4705,0.91784,0.00559,0.82763,0.76995,0.84071,0.52076,1.32767,0.77948,0.00713,0.0014192,0.0014192,0.0014192
46,2106.47,1.47897,0.92433,0.00544,0.85822,0.7611,0.83785,0.53508,1.28745,0.79696,0.00707,0.001406,0.001406,0.001406
47,2234.95,1.48954,0.94978,0.00564,0.86636,0.7437,0.84054,0.53031,1.32014,0.79068,0.00741,0.0013928,0.0013928,0.0013928
48,2364.84,1.47679,0.92046,0.00541,0.84777,0.76357,0.84434,0.53657,1.30884,0.75275,0.00713,0.0013796,0.0013796,0.0013796
49,2495.31,1.45122,0.91984,0.00531,0.85235,0.76432,0.85344,0.53731,1.2965,0.72929,0.007,0.0013664,0.0013664,0.0013664
50,2625.43,1.48589,0.92081,0.00542,0.8562,0.76384,0.85076,0.53499,1.31689,0.72298,0.00731,0.0013532,0.0013532,0.0013532
51,2757.9,1.46119,0.91863,0.00535,0.87036,0.75362,0.84426,0.52361,1.33514,0.7785,0.00728,0.00134,0.00134,0.00134
52,2836.46,1.46967,0.88577,0.00536,0.87026,0.76676,0.85496,0.53355,1.32329,0.72839,0.00722,0.0013268,0.0013268,0.0013268
53,2866.21,1.41972,0.84091,0.00523,0.85583,0.76521,0.84881,0.54293,1.27304,0.73167,0.00683,0.0013136,0.0013136,0.0013136
54,2896.2,1.46727,0.90018,0.00519,0.87442,0.75493,0.84398,0.54003,1.30091,0.73711,0.00705,0.0013004,0.0013004,0.0013004
55,2926.11,1.43714,0.88675,0.00529,0.8593,0.76316,0.84774,0.53887,1.29031,0.72786,0.00707,0.0012872,0.0012872,0.0012872
56,3018.86,1.42413,0.86346,0.00535,0.88271,0.73649,0.83831,0.54131,1.27897,0.79365,0.00707,0.001274,0.001274,0.001274
57,3148.45,1.44353,0.8836,0.00512,0.87195,0.76316,0.84599,0.54275,1.27674,0.75945,0.00686,0.0012608,0.0012608,0.0012608
58,3280.22,1.42325,0.8518,0.00506,0.86428,0.78577,0.85742,0.54658,1.27394,0.72181,0.00687,0.0012476,0.0012476,0.0012476
59,3362.51,1.45121,0.86645,0.00525,0.8888,0.77179,0.8545,0.54457,1.30085,0.74034,0.00714,0.0012344,0.0012344,0.0012344
