epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5433,1.85774,3.26443,0.00713,0.60329,0.5148,0.55033,0.25139,1.68761,2.98112,0.00954,0.000662366,0.000662366,0.000662366
2,126.84,1.87354,2.32962,0.00736,0.60036,0.56768,0.59163,0.27324,1.78362,1.87531,0.0109,0.00131259,0.00131259,0.00131259
3,152.38,1.87905,1.95563,0.00751,0.67178,0.54029,0.60833,0.30446,1.7099,1.56537,0.00981,0.00194631,0.00194631,0.00194631
4,177.864,1.84168,1.66842,0.00716,0.6793,0.60967,0.67322,0.33921,1.67783,1.34174,0.00948,0.00192575,0.00192575,0.00192575
5,203.144,1.82717,1.55793,0.00721,0.71993,0.61513,0.69756,0.34589,1.65724,1.30374,0.00977,0.001901,0.001901,0.001901
6,228.178,1.79594,1.48084,0.00697,0.68874,0.6196,0.6891,0.36755,1.61748,1.23306,0.00926,0.00187625,0.00187625,0.00187625
7,274.714,1.76096,1.38926,0.007,0.71861,0.65214,0.72869,0.38272,1.60024,1.19274,0.00896,0.0018515,0.0018515,0.0018515
8,300.712,1.73016,1.32524,0.00658,0.74028,0.6282,0.72992,0.41119,1.54608,1.13147,0.00883,0.00182675,0.00182675,0.00182675
9,326.181,1.76056,1.32091,0.00657,0.73575,0.65748,0.74351,0.39835,1.55181,1.10317,0.00856,0.001802,0.001802,0.001802
10,351.623,1.73141,1.24528,0.00661,0.72114,0.69243,0.76154,0.39378,1.65702,1.06118,0.00955,0.00177725,0.00177725,0.00177725
11,376.276,1.72349,1.28184,0.00671,0.74649,0.6732,0.76177,0.43124,1.54861,1.0317,0.00871,0.0017525,0.0017525,0.0017525
12,401.009,1.70897,1.23577,0.00658,0.74884,0.66938,0.75051,0.42223,1.52579,1.03759,0.00856,0.00172775,0.00172775,0.00172775
13,425.47,1.70596,1.20056,0.00641,0.76126,0.66083,0.75783,0.41919,1.58501,1.04942,0.00918,0.001703,0.001703,0.001703
14,449.898,1.66952,1.18796,0.00654,0.76639,0.68798,0.78097,0.44508,1.49465,0.98391,0.00836,0.00167825,0.00167825,0.00167825
